R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
1,0,-150,130,66.66666667,130,10/2/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,5,0,1,0,3.42,0.59,0.7,0.24,1,4,2,11,0,0,0,1,4,0,0,5,Orthodox,198.12,208.28,205,3,0,0,3.95,0.48,0.1,0.61,0.36,4,8,43,1,0,0,2,11,0,0,13,Orthodox,187.96,193.04,205,37,29,-3,1,0,-8,-6,-32,-1,-7,0,10.16,15.24,-8,-0.53,0.6,-0.37,1,1,10,5,,,,,,5,,,,,,,,,,,,,10,,,,,,,,Red,U-DEC,,5,5:00,1500,800,900,2000,1600,-110,175
1,0,170,-200,170,50,10/2/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,3,2,0,0,5.16,0.42,0.8,0.79,0.22,2,5,24,0,0,0,0,4,2,0,6,Orthodox,182.88,193.04,170,2,0,0,2.97,0.51,0.5,2.27,0.37,4,8,44,0,0,1,3,4,3,0,11,Orthodox,180.34,193.04,170,33,32,0,0,-2,-5,-3,-20,0,0,-1,2.54,0,-1,2.19,0.3,-1.48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,450,350,700,1100,550,120
1,0,110,-130,110,76.92307692,10/2/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,1,0,0,2.92,0.41,0.1,1.15,0.34,5,5,38,0,0,2,6,1,0,0,9,Southpaw,185.42,195.58,185,1,0,0,3.77,0.49,1.7,4.48,0.44,4,4,13,0,0,0,0,1,5,0,6,Orthodox,190.5,195.58,205,34,32,0,0,1,3,1,25,0,0,-5,-5.08,0,-2,-0.85,-1.6,-3.33,1,1,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,550,275,275,1400,600,185
1,0,-675,475,14.81481481,475,10/2/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,1,0,0,4.04,0.34,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,1,0,0,3.79,0.36,0,1.57,0.35,2,3,15,0,0,0,2,2,0,0,4,Orthodox,175.26,182.88,155,29,32,0,0,-2,-4,-2,-12,0,-2,0,2.54,-5.08,3,0.25,0,-1.57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,1:20,80,175,900,500,3500,110,1100
1,0,-135,115,74.07407407,115,10/2/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,2,0,5.22,0.56,0,2.54,0.39,2,3,19,0,0,0,4,1,0,0,5,Orthodox,175.26,172.72,145,0,4,0,2.64,0.62,0.6,2.85,0.52,4,0,8,0,0,0,2,0,2,0,4,Orthodox,175.26,177.8,155,28,33,0,-2,-2,1,3,11,0,1,-2,0,-5.08,5,2.58,-0.6,-0.31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,165,200,400,1200,900,600
1,0,215,-265,215,37.73584906,10/2/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,2,0,5.48,0.56,1.4,3.83,0.5,2,0,5,0,0,0,0,1,1,0,2,Orthodox,167.64,175.26,125,1,0,0,3.89,0.56,0.5,0.51,0.5,2,3,17,0,0,0,1,2,1,0,4,Southpaw,172.72,170.18,125,36,23,-1,2,0,-2,-3,-12,0,-1,0,-5.08,5.08,-13,1.59,0.9,3.32,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,4:47,587,300,200,1600,330,1000,300
1,0,500,-720,500,13.88888889,10/2/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,0,3,0,7.88,0.54,0,1.5,0.5,3,0,9,0,0,1,2,0,0,0,3,Orthodox,165.1,170.18,135,1,0,1,4.37,0.43,0,0.39,0.18,3,5,30,1,0,2,2,1,0,0,5,Orthodox,165.1,162.56,135,38,26,-1,3,0,-2,-5,-21,-1,-1,0,0,7.62,-12,3.51,0,1.11,1,1,15,,,,,,,,,,,,,,,,,,15,,,,,,,,,,Blue,U-DEC,,3,5:00,900,700,-200,2500,600,1600,400
1,0,-155,135,64.51612903,135,10/2/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,1,0,3.03,0.4,0.4,3.5,0.32,1,2,7,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,155,0,1,0,5.1,0.52,0.5,0.53,1,3,1,6,0,0,0,0,4,0,0,4,Orthodox,175.26,193.04,155,28,27,0,0,-2,-3,1,1,0,-3,0,7.62,-5.08,-1,-2.07,-0.1,2.97,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,2:51,471,330,450,2000,900,140,330
1,0,-280,225,35.71428571,225,10/2/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,0.99,0.55,0,0,0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,135,1,0,0,3.79,0.38,0,0.69,0.5,2,4,22,0,0,0,3,1,0,0,4,Orthodox,170.18,172.72,145,36,29,0,0,-2,-4,-3,-20,0,-1,0,0,-7.62,-7,-2.8,0,-0.69,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,2:04,124,165,450,1400,2000,150,600
1,0,-155,135,64.51612903,135,10/2/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Bantamweight,FEMALE,3,2,0,0,3.04,0.53,1,0,0,0,2,5,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,135,1,0,0,1.74,0.52,0,2.01,0.3,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,33,30,1,0,0,0,1,2,0,0,0,2.54,-7.62,-3,1.3,1,-2.01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbow,2,2:22,442,140,225,450,900,800,900
